Id,Y,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24
1,1,25884,1,33.63,118596,1,0,118595,125738,1,3,1,2,121374,-2.26643012503,1945,118450,119184,1,121372,1,1,1,2,1
2,1,34346,1,10.62,118041,1,0,117902,130913,1,1,1,23,118943,-0.305611794856,15385,117945,292795,1,259173,1,1,1,1,1
3,1,34923,1,1.77,118327,1,0,117961,124402,1,2,1,1,118786,2.01556119067,7547,118933,290919,1,118784,1,1,1,1,1
4,1,80926,1,30.09,118300,1,0,117961,301218,1,0,1,1,118332,-3.17250105457,4933,118458,118331,1,307024,1,1,1,2,1
5,1,4674,1,1.77,119921,1,0,119920,302830,1,0,1,2,128231,0.573766748597,13836,142145,4673,1,128230,1,1,1,620,1
6,1,31824,1,3.54,118300,1,0,117961,154949,1,3,1,1,119851,1.0,3085,125821,118638,1,119849,1,1,1,2,1
7,1,25889,1,3.54,118225,1,0,117961,120324,1,1,1,1,122850,1.0,3526,120323,119095,1,122849,1,1,1,1,1
8,1,80867,1,1.77,121006,1,0,121005,164523,1,10,1,6,122131,-1.64121178171,1383,118575,121916,1,122129,1,1,1,1,1
9,1,17225,1,23.01,118386,1,0,117961,269406,1,0,1,1,118399,1.94755716014,5249,123144,118398,1,118396,1,1,1,2,1
10,1,45142,1,1.77,118052,1,0,117961,121809,1,0,1,9,118639,-0.369776823823,15904,118053,118638,1,118636,1,1,1,9,1
11,1,100473,1,1.77,118343,1,0,117961,117906,1,0,1,1,117908,1.0,5244,119598,290919,1,117905,1,1,1,1,1
12,1,74301,1,1.77,117984,1,0,117983,117897,1,2,1,1,117880,2.00273167838,52481,117878,19721,1,117879,1,1,1,2,1
13,1,45236,1,3.54,118743,1,0,118742,117897,1,0,1,1,117900,-2.34981384381,64791,117884,19721,1,117899,1,1,1,5,1
14,1,39263,1,1.77,119428,1,0,118256,119359,1,0,1,1,117948,1.64089820429,32795,118623,292795,1,117946,1,1,1,4,1
15,1,35011,1,1.77,118413,1,0,117961,230830,1,0,1,4,127783,-1.96160974556,7370,118481,290919,1,127782,1,1,1,4,1
16,1,45789,1,5.31,118327,1,0,117961,279443,1,0,1,6,118779,-1.3280833963,50040,118391,308574,1,118777,1,1,1,6,1
17,1,27900,2,1.77,118115,1,0,118114,229187,2,0,1,1,121070,1.0,22369,117920,121069,1,121067,1,1,1,1,1
18,1,44811,1,1.77,118327,1,0,117961,117906,1,0,1,1,118322,-1.81838998254,26320,118391,290919,1,118321,1,1,1,1,1
19,1,916,1,3.54,118300,1,0,117961,240983,2,3,1,1,118322,1.0,4511,119181,290919,1,118321,1,1,1,18,1
20,1,79091,2,1.77,118300,1,0,117961,134656,1,2,1,40,134657,-0.813548771662,1396,120059,118424,1,134655,1,1,1,227,1
21,1,75077,1,3.54,118463,1,0,118315,121927,1,0,1,3,119174,-0.94104457099,88387,118522,118467,1,119172,1,1,1,2,1
22,1,4674,1,1.77,118446,1,0,117961,117906,1,4,1,1,117908,-0.221879006385,16928,120317,290919,1,117905,1,1,1,6,1
23,0,14353,1,1.77,118011,1,0,117916,119324,1,0,1,2,119325,1.96450497297,57818,118810,19793,1,119323,1,1,1,33,1
24,1,39882,1,1.77,118052,1,0,117961,117906,1,0,1,1,118261,1.0,7551,118867,290919,1,118259,1,1,1,1,1
25,1,15709,1,1.77,118343,1,0,117961,121350,1,0,1,1,119951,1.0,15435,122299,290919,1,119949,1,1,1,2,1
26,1,43806,1,1.77,118225,1,0,117961,117906,1,0,1,3,117908,1.46583996263,3838,119924,290919,1,117905,1,1,3,14,1
27,1,35065,1,5.31,118386,1,0,117961,152307,1,0,1,1,118454,1.0,7389,118746,118453,1,118451,1,1,1,2,1
28,1,34246,1,3.54,118291,1,0,118290,267006,1,2,1,2,120346,1.0,2765,118301,118424,1,120344,1,1,1,5,2
29,1,40071,1,3.54,118026,1,0,91261,117906,1,0,1,5,117908,0.404410954468,70066,118202,290919,1,117905,1,1,1,1,1
30,1,33247,1,3.54,118343,1,0,117961,133686,1,6,1,1,119435,-1.78834790785,49425,119598,118424,1,119433,1,1,1,4,1
31,0,73800,1,1.77,120141,1,0,120140,261774,1,0,1,1,118749,-0.854506123703,3697,118933,118453,1,118747,1,1,1,1,1
32,1,74037,1,1.77,118446,1,0,117961,277716,1,1,1,1,118539,1.0,20820,118447,308574,1,118536,1,4,1,2,1
33,1,15062,1,1.77,118327,1,0,117961,240983,1,1,1,3,117908,-0.365651864186,2610,121979,290919,1,117905,1,2,1,1,1
34,1,111587,1,1.77,117962,1,0,117961,240983,1,0,1,1,117908,1.0,16922,118501,290919,1,117905,1,1,1,2,1
35,1,38390,1,1.77,117960,1,0,117959,124097,1,0,2,1,121070,2.81482284526,20734,117920,121069,1,121067,1,1,1,7,1
36,1,80494,1,5.31,118300,1,0,117961,118302,1,0,1,2,118296,-0.225474884102,4933,118458,118295,1,118293,1,1,1,4,1
37,1,7542,1,1.77,118343,1,0,117961,172635,1,0,1,1,117908,1.13806056299,6454,118856,290919,1,117905,1,1,1,2,1
38,1,41648,1,1.77,118991,1,0,118990,117906,1,1,1,3,117908,-2.46626187066,7583,118992,290919,1,117905,1,1,1,5,1
39,1,42084,1,17.7,118170,1,0,118169,297838,1,7,1,1,118046,-0.672759995487,48938,118042,270488,2,118043,1,1,1,1,1
40,1,45443,1,1.77,118300,1,0,117961,240983,1,0,1,1,118322,-0.791134944647,15967,124942,290919,1,118321,1,1,1,5,1
41,1,31204,1,1.77,118343,1,0,117961,256190,1,0,2,1,119174,-1.13055215811,4638,119987,118467,1,119172,1,1,1,1,1
42,1,86521,1,1.77,118413,1,0,117961,124402,1,11,1,1,118786,0.661191980461,5636,122007,290919,1,118784,1,1,1,25,1
43,1,73062,1,3.54,117962,1,0,117961,118503,1,1,1,5,118505,1.0,2071,118501,118504,1,118502,1,1,1,3,1
44,1,23963,1,1.77,118300,1,0,117961,223125,1,2,1,5,118836,-1.38913816072,3622,118458,118424,1,118834,1,1,1,1,1
45,1,38718,1,1.77,117919,1,0,117918,117913,1,0,3,1,117888,0.818255895983,101044,117884,117887,1,117885,1,1,1,8,1
46,1,79091,1,1.77,118343,1,0,117961,294485,1,5,1,1,118332,-0.209737500503,86049,120347,118331,1,307024,1,1,1,1,1
47,0,111914,1,1.77,118291,1,0,118290,122739,1,0,1,11,118425,-1.63999436805,5163,118597,118424,1,118422,1,1,1,100,1
48,1,31841,1,1.77,117927,1,0,117926,123932,1,6,1,1,119325,-1.81822297612,58461,119569,19793,1,119323,1,1,1,1,1
49,1,77465,1,1.77,118193,1,0,118192,118250,1,0,1,2,117880,0.360173791944,50520,117895,19721,1,117879,1,1,1,17,1
50,0,22393,1,10.62,118026,1,0,91261,117906,1,4,1,1,118322,-2.257978069,94240,119507,290919,1,118321,1,1,1,1,1
51,1,44811,1,1.77,118343,1,0,117961,117906,1,2,1,24,118322,-0.556439725277,17514,121747,290919,2,118321,1,1,1,2,1
52,1,20348,1,1.77,117976,1,0,117975,125937,1,0,1,2,118570,1.76378685621,49798,117920,19721,1,118568,1,1,2,42,1
53,1,4674,1,1.77,118327,1,2,117961,200462,1,0,1,1,118786,1.55634558022,49577,118933,290919,1,118784,1,1,1,1,1
54,1,79812,1,1.77,118991,1,0,118990,117906,1,0,1,1,118322,-2.52421757885,49323,118992,290919,1,118321,1,1,1,1,1
55,1,4674,1,3.54,118446,1,0,117961,170665,1,0,1,2,121596,1.13151623562,14731,118447,4673,1,121594,1,1,1,2,1
56,1,16638,1,1.77,118052,1,0,117961,174445,2,4,1,5,120099,-0.340192676024,3267,118053,270488,1,120097,1,1,1,5,1
57,1,25415,1,1.77,117940,1,0,117929,166520,1,8,1,4,118570,-0.950648269919,58695,117941,19721,1,118568,1,1,1,4,1
58,1,76445,1,1.77,118300,1,0,117961,240983,1,1,1,2,117908,-1.33421665491,4511,119181,290919,1,117905,1,1,1,1,1
59,1,33232,1,1.77,118300,1,0,117961,240983,1,0,1,4,118322,-4.23606830042,15967,124942,290919,1,118321,1,1,1,5,1
60,1,35873,1,3.54,118300,1,0,117961,117906,1,0,1,1,118322,1.0,1915,119181,290919,1,118321,1,1,1,1,1
61,1,94183,1,3.54,118327,1,0,117961,118959,1,0,1,2,120774,-0.925413015229,2062,119830,118960,1,120773,1,1,1,4,1
62,1,25992,1,35.4,118343,1,0,117961,223125,1,39,1,5,120499,-1.03672152607,5210,118979,118424,1,120497,1,1,1,9,1
63,1,75244,1,283.2,117891,1,0,117890,123862,1,0,1,2,117900,2.81447154465,14135,117878,19721,1,117899,1,1,1,21,1
64,1,23965,1,5.31,118300,1,0,117961,123413,2,4,1,3,118836,-2.40567965375,51124,118631,118424,1,118834,1,1,1,10,1
65,1,27123,1,1.77,118327,1,0,117961,126339,1,5,1,1,120099,1.85435793653,54303,118492,270488,1,120097,1,1,1,1,1
66,1,42092,1,5.31,120343,1,0,120342,309291,1,0,1,1,119079,-1.9095644251,139354,119076,118372,1,119077,1,1,1,1,1
67,1,6976,1,3.54,118225,1,0,117961,152852,1,0,1,1,118322,-4.02374561687,7495,137996,290919,1,118321,1,1,1,34,2
68,1,78359,1,3.54,118327,1,0,117961,305057,1,0,1,1,123672,-0.0985604986645,858,118529,121916,1,123670,1,1,1,8,1
69,1,18417,2,1.77,118300,1,0,117961,311412,1,2,1,1,118836,1.0,4145,120026,118424,1,118834,1,1,1,8,1
70,1,3852,1,7.08,118413,1,0,117961,310608,1,0,1,1,118332,1.0,16838,120370,118331,1,307024,1,1,1,117,1
71,1,390,1,5.31,118743,1,0,118742,305581,1,0,1,1,122954,-2.41192553171,46584,118810,19793,1,122952,1,1,1,1,1
72,1,45623,1,1.77,118026,1,0,91261,117906,1,314,1,1,118322,-1.93907862771,71401,118202,290919,1,118321,1,1,1,2,1
73,1,34025,1,5.31,118413,1,1,117961,118448,1,0,2,1,118322,0.884625643363,2938,122007,290919,1,118321,1,3,1,1,1
74,1,6490,1,1.77,118386,1,0,117961,239652,1,0,1,1,118749,0.795791092016,7389,118746,118453,1,118747,1,1,1,4,1
75,1,75865,1,1.77,119302,1,0,119301,233216,1,3,1,1,118786,-1.09984584273,195311,119303,290919,1,118784,1,1,1,1,1
76,1,39145,1,1.77,117962,1,0,117961,306404,1,1,1,1,118332,-2.85275672776,22458,120677,118331,1,307024,1,1,1,1,1
77,1,4674,1,1.77,118300,1,0,117961,117906,1,12,1,1,117908,-1.47584293679,1568,120410,290919,1,117905,1,1,1,27,1
78,1,13877,1,8.85,118220,1,0,118219,128781,1,1,1,1,117880,1.60859693331,17687,117941,19721,1,117879,1,1,1,1,1
79,1,44879,2,1.77,118225,2,0,117961,118448,1,19,1,1,118322,-2.27094643564,3838,119924,290919,1,118321,1,1,1,1,1
80,1,1019,1,1.77,120865,1,0,120864,279443,1,1,1,1,118639,1.2750907908,2890,118437,118638,4,118636,1,1,1,3,1
81,1,43603,1,182.31,117954,1,0,5110,306530,1,0,1,2,118779,1.69702697044,7424,122672,308574,1,118777,1,1,1,1,1
82,1,79120,1,1.77,118300,1,0,117961,311701,1,0,1,1,120346,1.0,4909,118458,118424,1,120344,1,1,1,1576,1
83,1,75077,1,1.77,118463,1,0,118315,162182,1,0,1,2,123652,1.0,87700,118464,118467,1,123651,1,1,1,3,1
